(1.1) Sub-Category from Category Set,(1.2) Sub-Category from Category Set,All-in-one Calc (1),All-in-one Calc (2),All-in-one Calc (3),Category,Colour by Category Level,Manufacturer,Order Date,Product Name,Sub-Category,Sales
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Binney & Smith,21/03/2018,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Art,7.408
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Binney & Smith,21/03/2018,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Art,6.048
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Decoflex,06/11/2021,Decoflex Hanging Personal Folder File,Storage,46.26
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Pressboard,06/07/2021,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Binders,2.946
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wirebound,06/07/2021,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Paper,16.056
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Southworth,24/06/2021,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Paper,21.744
Tables,Tables,True,False,- Tables,Furniture,Sub-Category,Other,03/08/2018,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Tables,218.75
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,03/08/2018,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Appliances,2.6
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Eureka,17/12/2021,Eureka Sanitaire  Commercial Upright,Appliances,66.284
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Eldon,03/06/2021,"Eldon 200 Class Desk Accessories, Burgundy",Furnishings,35.168
,Technology,False,False,Technology,Technology,Category,Nortel,09/12/2021,Nortel Business Series Terminal T7208 Digital phone,Phones,444.768
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Tennsco,01/12/2021,"Tennsco Lockers, Gray",Storage,83.92
,Technology,False,False,Technology,Technology,Category,Panasonic,01/12/2021,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Phones,131.98
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,01/12/2021,"Avery Durable Slant Ring Binders, No Labels",Binders,15.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Advantus,01/12/2021,"Advantus Push Pins, Aluminum Head",Fasteners,52.29
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Gould Plastics,01/12/2021,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Storage,91.99
,Technology,False,False,Technology,Technology,Category,Memorex,09/02/2019,Memorex Micro Travel Drive 8 GB,Accessories,20.8
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,02/01/2019,Avery 505,Labels,23.68
Bookcases,Bookcases,True,False,- Bookcases,Furniture,Sub-Category,O'Sullivan,02/01/2019,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Bookcases,452.45
,Technology,False,False,Technology,Technology,Category,Other,02/01/2019,Speck Products Candyshell Flip Case,Phones,62.982
,Technology,False,False,Technology,Technology,Category,Cisco,02/01/2019,Cisco 9971 IP Video Phone Charcoal,Machines,1188
,Technology,False,False,Technology,Technology,Category,Sony,02/01/2019,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Accessories,89.584
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,28/10/2020,"Personal Filing Tote with Lid, Black/Gray",Storage,93.06
,Technology,False,False,Technology,Technology,Category,Other,28/10/2020,Adtran 1202752G1,Phones,302.376
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,24/12/2019,OIC Bulk Pack Metal Binder Clips,Fasteners,5.584
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,24/12/2019,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Paper,22.704
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Ibico,24/12/2019,Ibico Standard Transparent Covers,Binders,19.776
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Executive Impressions,24/12/2019,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furnishings,72.704
,Technology,False,False,Technology,Technology,Category,Other,24/12/2019,Swingline SM12-08 MicroCut Jam Free Shredder,Machines,479.988
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Stanley,24/12/2019,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Art,27.168
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Sanford,09/08/2019,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Art,2.2
Tables,Tables,True,False,- Tables,Furniture,Sub-Category,Bevis,09/08/2019,Bevis 36 x 72 Conference Tables,Tables,622.45
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Rogers,09/08/2019,Rogers Deluxe File Chest,Storage,21.98
Chairs,Chairs,True,True,   -- Global,Furniture,Manufacturer,Global,28/02/2019,Global Low Back Tilter Chair,Chairs,161.568
Chairs,Chairs,True,True,   -- Global,Furniture,Manufacturer,Global,28/02/2019,"Global Push Button Manager's Chair, Indigo",Chairs,389.696
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,13/09/2018,GBC Instant Index System for Binding Systems,Binders,18.648
Tables,Tables,True,False,- Tables,Furniture,Sub-Category,Bush,07/04/2021,Bush Advantage Collection Round Conference Table,Tables,233.86
Tables,Tables,True,False,- Tables,Furniture,Sub-Category,Bretford,07/04/2021,Bretford Rectangular Conference Table Tops,Tables,620.6145
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,07/04/2021,GBC Instant Index System for Binding Systems,Binders,5.328
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Tenex,07/04/2021,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furnishings,258.072
,Technology,False,False,Technology,Technology,Category,Logitech,07/04/2021,Logitech P710e Mobile Speakerphone,Accessories,617.976
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,12/11/2021,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,10.56
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,04/06/2020,Xerox 1957,Paper,25.92
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Luxo,04/06/2020,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furnishings,419.68
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Staple-based wall hangings,04/06/2020,Staple-based wall hangings,Furnishings,11.688
,Technology,False,False,Technology,Technology,Category,Other,04/06/2020,PureGear Roll-On Screen Protector,Phones,31.984
Tables,Tables,True,False,- Tables,Furniture,Sub-Category,KI,04/06/2020,KI Conference Tables,Tables,177.225
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Eldon,04/06/2020,Eldon 100 Class Desk Accessories,Furnishings,4.044
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Binney & Smith,04/06/2020,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Art,7.408
Chairs,Chairs,True,True,   -- Global,Furniture,Manufacturer,Global,01/06/2018,Global Deluxe High-Back Manager's Chair,Chairs,2001.86
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,SAFCO,01/06/2018,Safco Steel Mobile File Cart,Storage,166.72
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Adams,01/06/2018,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Paper,47.88
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Honeywell,01/06/2018,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Appliances,1503.25
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,01/06/2018,Xerox 205,Paper,25.92
Chairs,Chairs,True,True,   -- Global,Furniture,Manufacturer,Global,10/12/2020,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Chairs,321.568
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wirebound,11/09/2020,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Paper,7.61
,Technology,False,False,Technology,Technology,Category,Logitech,11/09/2020,Logitech P710e Mobile Speakerphone,Accessories,3347.37
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,10/12/2020,"Fellowes Personal Hanging Folder Files, Navy",Storage,80.58
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Tyvek,10/12/2020,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Envelopes,361.92
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Eldon,28/11/2019,Eldon 100 Class Desk Accessories,Furnishings,12.132
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Belkin,28/11/2019,"Belkin 19"" Vented Equipment Shelf, Black",Storage,82.368
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Tenex,28/11/2019,"Tenex Personal Project File with Scoop Front Design, Black",Storage,53.92
,Technology,False,False,Technology,Technology,Category,Logitech,28/11/2019,Logitech Mobile Speakerphone P710e - speaker phone,Phones,647.904
,Technology,False,False,Technology,Technology,Category,Other,01/12/2021,Sabrent 4-Port USB 2.0 Hub,Accessories,20.37
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,SAFCO,01/12/2021,Safco Industrial Shelving,Storage,221.55
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acco,01/12/2021,Acco 3-Hole Punch,Binders,17.52
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Eureka,08/06/2021,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Appliances,1.624
,Technology,False,False,Technology,Technology,Category,Other,19/09/2018,Lexmark MX611dhe Monochrome Laser Printer,Machines,3059.982
,Technology,False,False,Technology,Technology,Category,Xerox,19/09/2018,Xerox WorkCentre 6505DN Laser Multifunction Printer,Machines,2519.958
,Technology,False,False,Technology,Technology,Category,Cisco,06/06/2020,Cisco Small Business SPA 502G VoIP phone,Phones,328.224
,Technology,False,False,Technology,Technology,Category,Microsoft,10/11/2019,Microsoft Sculpt Comfort Mouse,Accessories,79.9
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Quartet,16/06/2021,"Quartet Omega Colored Chalk, 12/Pack",Art,14.016
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,22/01/2020,Bagged Rubber Bands,Fasteners,7.56
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,SAFCO,09/12/2021,Safco Commercial Shelving,Storage,37.208
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,09/12/2021,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Envelopes,57.576
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,28/12/2021,Adjustable Depth Letter/Legal Cart,Storage,725.84
,Technology,False,False,Technology,Technology,Category,Logitech,30/07/2019,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Accessories,209.93
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Other,30/07/2019,Regeneration Desk Collection,Furnishings,5.28
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,30/07/2019,Presstex Flexible Ring Binders,Binders,10.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Ampad,16/09/2021,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Paper,8.82
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,16/09/2021,Newell 330,Art,5.98
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,13/10/2021,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",Paper,11.648
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Adams,13/10/2021,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Paper,18.176
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Eldon,13/10/2021,Eldon Simplefile Box Office,Storage,59.712
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,13/10/2021,Avery 489,Labels,24.84
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,26/09/2019,Round Ring Binders,Binders,2.08
,Technology,False,False,Technology,Technology,Category,Other,26/09/2019,Bose SoundLink Bluetooth Speaker,Phones,1114.4
Tables,Tables,True,False,- Tables,Furniture,Sub-Category,Bevis,02/11/2019,"Bevis Round Bullnose 29"" High Table Top",Tables,1038.84
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Easy-staple paper,26/09/2019,Easy-staple paper,Paper,141.76
,Technology,False,False,Technology,Technology,Category,Microsoft,26/09/2019,Microsoft Arc Touch Mouse,Accessories,239.8
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,26/09/2019,Xerox 216,Paper,31.104
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,18/12/2020,GBC VeloBinder Electric Binding Machine,Binders,254.058
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acco,18/12/2020,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Appliances,194.528
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,18/12/2020,Premier Automatic Letter Opener,Supplies,961.48
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Advantus,20/11/2020,Advantus SlideClip Paper Clips,Fasteners,19.096
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,20/11/2020,Avery 512,Labels,18.496
,Technology,False,False,Technology,Technology,Category,Logitech,20/11/2020,Logitech Wireless Gaming Headset G930,Accessories,255.984
Bookcases,Bookcases,True,False,- Bookcases,Furniture,Sub-Category,Bush,20/11/2020,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Bookcases,86.97
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Howard Miller,26/12/2018,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furnishings,300.416
Chairs,Chairs,True,True,   -- Global,Furniture,Manufacturer,Global,26/12/2018,Global Deluxe Office Fabric Chairs,Chairs,230.352
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Eldon,26/12/2018,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furnishings,218.352
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Ibico,26/12/2018,Ibico Laser Imprintable Binding System Covers,Binders,78.6
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,26/12/2018,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",Fasteners,27.552
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,28/10/2020,Xerox 223,Paper,32.4
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Tennsco,28/10/2020,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Storage,1082.48
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,28/10/2020,Xerox 1939,Paper,56.91
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Other,28/10/2020,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Furnishings,77.6
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,28/10/2020,Avery Premier Heavy-Duty Binder with Round Locking Rings,Binders,14.28
Tables,Tables,True,False,- Tables,Furniture,Sub-Category,Other,19/11/2021,BPI Conference Tables,Tables,219.075
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Electrix,04/05/2019,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Furnishings,26.8
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,30/12/2018,Newell 350,Art,9.84
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,01/06/2018,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",Binders,45.48
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Boston,01/06/2018,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Art,289.2
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,15/04/2021,Faber Castell Col-Erase Pencils,Art,4.89
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,C-Line,12/09/2020,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furnishings,15.136
Chairs,Chairs,True,True,   -- Hon,Furniture,Manufacturer,Hon,12/09/2020,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Chairs,466.768
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Eldon,12/09/2020,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furnishings,15.232
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,12/09/2020,Avery 509,Labels,6.264
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Deflect-o,27/09/2018,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",Furnishings,87.54
